"MEASURE","Measure","REGIONTYPE","Geography Level","LGA_2020","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","25060","Moonee Valley (C)","A","Annual","2020","2020",131753,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","25150","Moorabool (S)","A","Annual","2020","2020",36013,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","25250","Moreland (C)","A","Annual","2020","2020",188762,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","25340","Mornington Peninsula (S)","A","Annual","2020","2020",168862,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","25430","Mount Alexander (S)","A","Annual","2020","2020",20001,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","25490","Moyne (S)","A","Annual","2020","2020",17027,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","25620","Murrindindi (S)","A","Annual","2020","2020",14661,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","25710","Nillumbik (S)","A","Annual","2020","2020",65219,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","25810","Northern Grampians (S)","A","Annual","2020","2020",11403,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","25900","Port Phillip (C)","A","Annual","2020","2020",116476,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","25990","Pyrenees (S)","A","Annual","2020","2020",7555,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","26080","Queenscliffe (B)","A","Annual","2020","2020",3008,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","26170","South Gippsland (S)","A","Annual","2020","2020",30248,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","26260","Southern Grampians (S)","A","Annual","2020","2020",16134,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","26350","Stonnington (C)","A","Annual","2020","2020",118614,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","26430","Strathbogie (S)","A","Annual","2020","2020",10992,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","26490","Surf Coast (S)","A","Annual","2020","2020",34771,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","26610","Swan Hill (RC)","A","Annual","2020","2020",20534,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","26670","Towong (S)","A","Annual","2020","2020",6102,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","26700","Wangaratta (RC)","A","Annual","2020","2020",29197,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","26730","Warrnambool (C)","A","Annual","2020","2020",35533,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","26810","Wellington (S)","A","Annual","2020","2020",44770,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","26890","West Wimmera (S)","A","Annual","2020","2020",3810,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","26980","Whitehorse (C)","A","Annual","2020","2020",180735,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","27070","Whittlesea (C)","A","Annual","2020","2020",236539,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","27170","Wodonga (C)","A","Annual","2020","2020",42662,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","27260","Wyndham (C)","A","Annual","2020","2020",283294,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","27350","Yarra (C)","A","Annual","2020","2020",103125,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","27450","Yarra Ranges (S)","A","Annual","2020","2020",159955,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","27630","Yarriambiack (S)","A","Annual","2020","2020",6588,,
"ERP","Estimated Resident Population","LGA2020","Local Government Areas (2020)","29399","Unincorporated Vic","A","Annual","2020","2020",894,,
